Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
2003 Chevrolet Malibu,79977,OFM-POLICE,1/2/2014,2125,$0.00 ,0.23,$488.75 ,$488.75 ,Successful,1/8/2014,80000852,,P 2938 AL,,Cashiers Check,"$3,000 ",$0.00 ,"$1,636.25 ",Enterprise,0
2008 International Cab & Chassis,79978,OFM-FIRE,1/2/2014,2125,$48.88 ,0.23,$488.75 ,$488.75 ,Successful,1/10/2014,80006639,,1479 JG,,3603718058,"$3,000 ",$0.00 ,"$1,636.25 ",Enterprise,0
2003 Ford F-450,79979,OFM-WATER SERVICES,1/2/2014,9000,$0.00 ,0.23,"$2,070.00 ","$2,070.00 ",Successful,1/6/2014,80000565,,31C 039,,Cashiers Check,"$3,000 ",$0.00 ,"$6,930.00 ",Enterprise,0
2003 Chevrolet Malibu,79980,OFM-POLICE,1/2/2014,2625,$0.00 ,0.23,$603.75 ,$603.75 ,Successful,1/8/2014,80000699,,P 2905 AL,,Cashiers Check,"$3,000 ",$0.00 ,"$2,021.25 ",Enterprise,0
2007 Toyota Camry,79981,POLICE STATE DRUG FUND,1/2/2014,5550,$0.00 ,0.23,"$1,276.50 ","$1,276.50 ",Successful,1/2/2014,,,07D 4783,,Cashiers Check,"$3,000 ",$0.00 ,"$4,273.50 ",Enterprise,0
1996 Honda Accord,79982,POLICE STATE DRUG FUND,1/2/2014,1726,$0.00 ,0.23,$396.98 ,$396.98 ,Successful,1/9/2014,,,07D 4549,,Cashiers Check,"$3,000 ",$0.00 ,"$1,329.02 ",Enterprise,0
2005 Buick LeSabre,79983,POLICE STATE GAMBLING FORFEITURE,1/2/2014,1525,$0.00 ,0.23,$350.75 ,$350.75 ,Successful,1/8/2014,,,07G 4696,,Cashiers Check,"$3,000 ",$0.00 ,"$1,174.25 ",Enterprise,0
1968 Pontiac Catalina,79986,DRUG TASK FORCE,1/2/2014,1375,$0.00 ,0.23,$316.25 ,$316.25 ,Successful,1/7/2014,,TF-311-068,,959858,Cashiers Check,"$3,000 ",$95.00 ,$963.75 ,Enterprise,0
Beverage Air Refrigerator w/Wheels,79987,NASHVILLE CONVENTION CTR,1/9/2014,27.01,$0.00 ,0.23,$6.21 ,$6.21 ,Successful,1/16/2014,,NCC-75729,,,Cashiers Check,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Hanging Rack,79988,NASHVILLE CONVENTION CTR,1/9/2014,41,$0.94 ,0.23,$9.43 ,$9.43 ,Successful,1/15/2014,,NCC-75665,,,3604056042,"$3,000 ",$0.00 ,$31.57 ,Enterprise,0
